model,split,price_mae,price_rmse,return_mae,return_rmse,direction_accuracy
Global historical mean,train,3.461875543327307,5.8945698311071935,0.015506028587786606,0.023625296854787755,0.5417439703153989
Ticker historical mean,train,3.4578297891580556,5.888932477793078,0.015471632918072029,0.023554359709710572,0.5417439703153989
Global historical mean,validation,4.286206906463957,5.969835994419483,0.019365170610738863,0.0278346277351299,0.5497835497835498
Ticker historical mean,validation,4.296212219183489,5.964269641615433,0.01937659644828451,0.02785763239494932,0.5497835497835498
Global historical mean,test,3.200836208420224,5.453303671305053,0.01267076912272045,0.022153479639924284,0.5800865800865801
Ticker historical mean,test,3.1842098290222474,5.446833138781762,0.012609596379021528,0.022139404696274,0.5800865800865801
XGBoost,train,3.455081684708717,5.883654540388467,0.01547307782244496,0.023566746771396058,0.5417439703153989
XGBoost,validation,4.286697123106316,5.967640238189637,0.019369156101478206,0.02783084978007145,0.5497835497835498
XGBoost,test,3.198594485288303,5.452619934276586,0.012664032114356943,0.022150562181551214,0.5800865800865801
XGBoost: news only,train,3.423751326717443,5.81866878819828,0.015276781439643138,0.023156029908519837,0.564935064935065
XGBoost: news only,validation,4.2768564744243935,5.951709533237409,0.019247260181267403,0.02776234656095789,0.5627705627705628
XGBoost: news only,test,3.229487075908405,5.490955592634903,0.012746010375664169,0.02227456151659909,0.5800865800865801
XGBoost: price + news,train,3.4578555302958915,5.886864738990062,0.015484982974645994,0.023588280599119764,0.5417439703153989
XGBoost: price + news,validation,4.2901726182522735,5.971895838764802,0.019366733052120274,0.0278209525995287,0.5497835497835498
XGBoost: price + news,test,3.1997814112942025,5.454794195961083,0.012666920485270232,0.02216195220454882,0.5800865800865801
Damped Holt,validation,4.301090167129072,5.958340373798744,0.0196463928636368,0.02797865942716287,0.49783549783549785
"ARIMA(1,0,0)",validation,4.2990930292437906,5.962895464318034,0.019399207674356433,0.02779663706670311,0.5108225108225108
"ARIMA(1,0,0)",test,3.2083809368022593,5.461510494239697,0.012759090026891984,0.022239539863456698,0.5541125541125541
Validation-weighted ensemble,validation,4.281351481704187,5.957434248629046,0.01930533890583096,0.027786347337171436,0.5497835497835498
Validation-weighted ensemble,test,3.21431105424937,5.468745225056396,0.012703854394431944,0.02220233495144117,0.5757575757575758
